tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,belum/tidakbekerja,mengurus_rumah_tangga,pelajar/mahasiswa,pensiunan,pegawai_negeri_sipil,tentara_nasional_indonesia,kepolisian_ri,perdagangan,petani_pekebun,peternak,nelayan/perikanan,industri,konstruksi,transportasi,karyawan_swasta,karyawan_bumn,karyawan_bumd,karyawan_honorer,buruh_harian_lepas,buruh_tani_perkebunan,buruh_nelayan_perikanan,buruh_peternakan,pembantu_rumah_tangga,tukang_cukur,tukang_listrik,tukang_batu,tukang_kayu,tukang_sol_sepatu,tukang_las_pandai_besi,tukang_jahit,tukang_gigi,penata_rias,penata_busana,penata_rambut,mekanik,seniman,tabib,paraji,perancang_busana,penterjemah,imam_mesjid,pendeta,pastor,wartawan,ustadz_mubaligh,juru_masak,promotor_acara,anggota_dpr_ri,anggota_dpd,anggota_bpk,presiden,wakil_presiden,anggota_mahkamah_konstitusi,anggota_kabinet_kementerian,duta_besar,gubernur,wakil_gubernur,bupati,wakil_bupati,walikota,wakil_walikota,anggota_dprd_provinsi,anggota_dprd_kabupaten_kota,dosen,guru,pilot,pengacara,notaris,arsitek,akuntan,konsultan,dokter,bidan,perawat,apoteker,psikiater_psikolog,penyiar_televisi,penyiar_radio,pelaut,peneliti,sopir,pialang,paranormal,pedagang,perangkat_desa,kepala_desa,biarawati,wiraswasta,lainnya,hakim
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,6614.0,7304.0,9538.0,664.0,704.0,37.0,442.0,5.0,,,1.0,4.0,9.0,,11557.0,186.0,2.0,19.0,522.0,,,,7.0,,,,,,,13.0,,,,,5.0,23.0,,,,,,2.0,,38.0,,,,9.0,,1.0,,,,,,,,,,,,2.0,,69.0,295.0,8.0,28.0,12.0,15.0,5.0,18.0,162.0,11.0,23.0,7.0,3.0,,,3.0,2.0,112.0,,,256.0,,,,2371.0,120.0,2.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,8814.0,8860.0,10786.0,458.0,875.0,75.0,64.0,4.0,9.0,,,,5.0,1.0,12387.0,133.0,3.0,28.0,830.0,4.0,,,6.0,,,,,,1.0,4.0,,,,,3.0,13.0,,,,,,6.0,,34.0,4.0,,,1.0,,,,,,,,,,,,,,,,37.0,460.0,3.0,13.0,6.0,5.0,1.0,7.0,66.0,17.0,25.0,4.0,1.0,,,7.0,3.0,142.0,,,264.0,,,1.0,2520.0,72.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,7627.0,8723.0,11136.0,551.0,578.0,54.0,93.0,8.0,1.0,,1.0,14.0,11.0,2.0,11480.0,152.0,8.0,37.0,668.0,2.0,,,6.0,1.0,,,,,,2.0,,,,,7.0,19.0,,,,,,9.0,,46.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,53.0,395.0,4.0,20.0,5.0,5.0,1.0,9.0,104.0,12.0,27.0,2.0,1.0,1.0,,7.0,,217.0,,,956.0,,1.0,,5952.0,290.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,9612.0,11142.0,14735.0,1199.0,1053.0,55.0,307.0,17.0,1.0,,,12.0,14.0,11.0,17871.0,193.0,2.0,10.0,442.0,,,,19.0,,,,14.0,,,3.0,,,,,3.0,24.0,,,,,,9.0,,36.0,1.0,1.0,,7.0,,2.0,,,,,,,,,,,,,,112.0,582.0,22.0,33.0,14.0,23.0,1.0,24.0,273.0,13.0,30.0,5.0,5.0,,,,1.0,73.0,,,204.0,,,,3330.0,715.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,7040.0,7851.0,10234.0,407.0,475.0,188.0,44.0,,1.0,,1.0,12.0,16.0,3.0,10778.0,136.0,2.0,27.0,588.0,1.0,,1.0,2.0,,,,,,,9.0,,1.0,,,3.0,10.0,,,,,,8.0,,21.0,,,,,,,,,,,,,,,,,,,,29.0,404.0,1.0,9.0,1.0,2.0,4.0,5.0,45.0,11.0,15.0,1.0,,,,4.0,,153.0,,,1.074,,1.0,,3642.0,251.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,7748.0,9320.0,10501.0,431.0,335.0,26.0,19.0,,1.0,,,7.0,2.0,1.0,12429.0,72.0,3.0,11.0,1195.0,1.0,,,8.0,,,,,,,9.0,,,,,,11.0,,,,,,8.0,,27.0,1.0,,,3.0,,,,,,1.0,,,,,,,,1.0,,46.0,383.0,3.0,16.0,3.0,2.0,2.0,13.0,78.0,8.0,16.0,,1.0,,,3.0,2.0,107.0,,,149.0,,,,4656.0,150.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,7876.0,9222.0,11115.0,580.0,538.0,37.0,44.0,11.0,1.0,,,8.0,3.0,8.0,13141.0,148.0,2.0,18.0,532.0,3.0,,,9.0,,,,,,,12.0,,,,,4.0,15.0,,,,,,7.0,,35.0,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,51.0,397.0,4.0,19.0,2.0,12.0,1.0,5.0,92.0,9.0,22.0,2.0,1.0,,,3.0,1.0,151.0,,,576.0,,,,3977.0,240.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,7174.0,8096.0,10395.0,874.0,801.0,317.0,102.0,,2.0,,,7.0,2.0,2.0,13125.0,123.0,4.0,6.0,766.0,3.0,,,3.0,,,,,,,5.0,,,,,3.0,15.0,,,,,,10.0,,42.0,1.0,,,1.0,,,,,,,,,,,,,,,,44.0,387.0,3.0,12.0,2.0,2.0,,3.0,69.0,10.0,39.0,3.0,4.0,,,7.0,,86.0,,,188.0,,,,2704.0,305.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,8151.0,10691.0,13979.0,993.0,906.0,46.0,52.0,,2.0,,1.0,5.0,4.0,4.0,17537.0,295.0,7.0,22.0,228.0,1.0,,,13.0,,,,,,,4.0,,,,,1.0,26.0,,,1.0,1.0,,16.0,7.0,62.0,,,,1.0,,,,,,1.0,,,,,,,,,,114.0,453.0,11.0,33.0,13.0,18.0,4.0,8.0,168.0,13.0,56.0,4.0,1.0,1.0,1.0,,1.0,93.0,,1.0,14.0,,,,3983.0,454.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,6318.0,7231.0,9628.0,760.0,856.0,41.0,44.0,2.0,7.0,,1.0,6.0,7.0,,9878.0,115.0,5.0,15.0,22.0,2.0,,,22.0,,,,,,,2.0,,,,,,12.0,,,,,,14.0,,35.0,1.0,,,4.0,,,,,,,,,,,,,,1.0,,86.0,385.0,15.0,37.0,12.0,15.0,2.0,8.0,172.0,17.0,28.0,4.0,2.0,,1.0,5.0,1.0,82.0,,,165.0,,,11.0,3602.0,177.0,
